conm,quarter,firm,tpuashare
BIRNER DENTAL MGMT SVCS INC,2017q4,BDMS,0
A-MARK PRECIOUS METALS INC,2017q4,AMRK,0
COMMERCIAL VEHICLE GROUP INC,2017q4,CVGI,0
AERIE PHARMACEUTICALS INC,2017q4,AERI,0
MOSAIC CO,2017q4,MOS,0
WAYFAIR INC,2017q4,W,0
CASTLIGHT HEALTH INC,2017q4,CSLT,0
STEIN MART INC,2017q4,SMRT,0
HEALTHCARE TRUST OF AMERICA,2017q4,HTA,0
MERITOR INC,2017q4,MTOR,0
CBRE GROUP INC,2017q4,CBRE,0
AMERIGAS PARTNERS  -LP,2017q4,APU,0
FORUM ENERGY TECH INC,2017q4,FET,0
ACLARIS THERAPEUTICS INC,2017q4,ACRS,0
ACCELERON PHARMA INC,2017q4,XLRN,0
NEWPARK RESOURCES,2017q4,NR,0
NATIONAL RESEARCH CORP,2017q4,NRC,0
NEW AGE BEVERAGES CORP,2017q4,NBEV,0
BLUEPRINT MEDICINES CORP,2017q4,BPMC,0
NEUROCRINE BIOSCIENCES INC,2017q4,NBIX,0
EDGE THERAPEUTICS INC,2017q4,EDGE,0
ASURE SOFTWARE INC,2017q4,ASUR,0
MYR GROUP INC,2017q4,MYRG,0
TRIMBLE INC,2017q4,TRMB,0
TESSCO TECHNOLOGIES INC,2017q4,TESS,0
AMETEK INC,2017q4,AME,0
MEDLEY CAPITAL CORP,2017q4,MCC,0
M/I HOMES INC,2017q4,MHO,0
OLD REPUBLIC INTL CORP,2017q4,ORI,0
AAR CORP,2017q4,AIR,0
JOHNSON & JOHNSON,2017q4,JNJ,0
DATA I/O CORP,2017q4,DAIO,0
ARBUTUS BIOPHARMA CORP,2017q4,ABUS,0
RPC INC,2017q4,RES,0
INTELLIA THERAPEUTICS INC,2017q4,NTLA,0
INTERCEPT PHARMA INC,2017q4,ICPT,0
ANALOG DEVICES,2017q4,ADI,0
DIAMONDBACK ENERGY INC,2017q4,FANG,0
RAVEN INDUSTRIES INC,2017q4,RAVN,0
QUAKER CHEMICAL CORP,2017q4,KWR,0
IMMUNE DESIGN CORP,2017q4,IMDZ,0
ARBOR REALTY TRUST INC,2017q4,ABR,0
COSTAR GROUP INC,2017q4,CSGP,0
VISHAY PRECISION GROUP INC,2017q4,VPG,0
WEB.COM GROUP INC,2017q4,WEB,0
OAKTREE STRATEGIC INCOME CP,2017q4,OCSI,0
STURM RUGER & CO INC,2017q4,RGR,0
ARGOS THERAPEUTICS INC,2017q4,ARGSQ,0
AXALTA COATING SYSTEMS LTD,2017q4,AXTA,0
ANSYS INC,2017q4,ANSS,0
ALLIANCE RESOURCE PTNRS  -LP,2017q4,ARLP,0
TOPBUILD CORP,2017q4,BLD,0
AVIAT NETWORKS INC,2017q4,AVNW,0
GGP INC,2017q4,GGP,0
SABRA HEALTH CARE REIT INC,2017q4,SBRA,0
BLACKLINE INC,2017q4,BL,0
SOLAR CAPITAL LTD,2017q4,SLRC,0
FOUR CORNERS PROPERTY TR INC,2017q4,FCPT,0
COVENANT TRANSPORTATION GRP,2017q4,CVTI,0
CAMPBELL SOUP CO,2017q4,CPB,0
180 DEGREE CPTL CORP,2017q4,TURN,0
BRISTOW GROUP INC,2017q4,BRSWQ,0
MYLAN NV,2017q4,MYL,0
ADAMS RESOURCES & ENERGY INC,2017q4,AE,0
MANNKIND CORP,2017q4,MNKD,0
CAESARS ENTERTAINMENT CORP,2017q4,CZR,0
BRADY CORP,2017q4,BRC,0
INTERNAP CORP,2017q4,INAP,0
MEREDITH CORP,2017q4,MDP,0
ENGILITY HOLDINGS INC,2017q4,EGL,0
BALL CORP,2017q4,BLL,0
AMERICAN HOMES 4 RENT,2017q4,AMH,0
ANIXTER INTL INC,2017q4,AXE,0
ANADARKO PETROLEUM CORP,2017q4,APC,0
GENESEE & WYOMING INC  -CL A,2017q4,GWR,0
CHARLES & COLVARD LTD,2017q4,CTHR,0
GOODRICH PETROLEUM CORP,2017q4,GDP,0
INCYTE CORP,2017q4,INCY,0
INSPIRED ENTERTAINMENT,2017q4,INSE,0
HASBRO INC,2017q4,HAS,0
STAFFING 360 SOLUTIONS INC,2017q4,STAF,0
SPRAGUE RESOURCES LP,2017q4,SRLP,0
LIFEVANTAGE CORP,2017q4,LFVN,0
GNC HOLDINGS INC,2017q4,GNC,0
APPLIED OPTOELECTRONICS INC,2017q4,AAOI,0
CTI BIOPHARMA CORP,2017q4,CTIC,0
MCCORMICK & CO INC,2017q4,MKC,0
ARAMARK,2017q4,ARMK,0
MARSH & MCLENNAN COS,2017q4,MMC,0
BRUNSWICK CORP,2017q4,BC,0
DUNKIN' BRANDS GROUP INC,2017q4,DNKN,0
WEYERHAEUSER CO,2017q4,WY,0
PROPETRO HOLDING CORP,2017q4,PUMP,0
OPGEN INC,2017q4,OPGN,0
II-VI INC,2017q4,IIVI,0
ARES COMMERCIAL REAL ESTATE,2017q4,ACRE,0
CHILDRENS PLACE INC,2017q4,PLCE,0
AG MORTGAGE INVESTMENT TRUST,2017q4,MITT,0
JACOBS ENGINEERING GROUP INC,2017q4,JEC,0
AMC ENTERTAINMENT HOLDINGS,2017q4,AMC,0
SPARTANNASH CO,2017q4,SPTN,0
LITHIA MOTORS INC  -CL A,2017q4,LAD,0
DIPLOMAT PHARMACY INC,2017q4,DPLO,0
NEW MOUNTAIN FINANCE CORP,2017q4,NMFC,0
EMERGENT BIOSOLUTIONS INC,2017q4,EBS,0
PAR TECHNOLOGY CORP,2017q4,PAR,0
GENOMIC HEALTH INC,2017q4,GHDX,0
EW SCRIPPS  -CL A,2017q4,SSP,0
CHART INDUSTRIES INC,2017q4,GTLS,0
COLLECTORS UNIVERSE INC,2017q4,CLCT,.046490006
AVINGER INC,2017q4,AVGR,0
LAUREATE EDUCATION INC,2017q4,LAUR,.010356255
SCHLUMBERGER LTD,2017q4,SLB,.010439503
ASCENA RETAIL GROUP INC,2017q4,ASNA,0
OFFICE DEPOT INC,2017q4,ODP,0
HANOVER INSURANCE GROUP INC,2017q4,THG,0
JOHN BEAN TECHNOLOGIES,2017q4,JBT,.014524329
CARLISLE COS INC,2017q4,CSL,0
AMBER ROAD INC,2017q4,AMBR,0
CF INDUSTRIES HOLDINGS INC,2017q4,CF,0
SOCKET MOBILE INC,2017q4,SCKT,0
SIX FLAGS ENTERTAINMENT CORP,2017q4,SIX,0
AXCELIS TECHNOLOGIES INC,2017q4,ACLS,0
HC2 HOLDINGS INC,2017q4,HCHC,0
AMBAC FINANCIAL GROUP INC,2017q4,AMBC,0
CEC ENTERTAINMENT INC,2017q4,9614B,0
CAMBIUM LEARNING GROUP INC,2017q4,ABCD,0
INSTRUCTURE INC,2017q4,INST,0
RUBICON PROJECT INC,2017q4,RUBI,0
MUELLER WATER PRODUCTS INC,2017q4,MWA,0
AMERICAN SUPERCONDUCTOR CP,2017q4,AMSC,0
PARK OHIO HOLDINGS CORP,2017q4,PKOH,0
PRIMERICA INC,2017q4,PRI,0
PERFORMANT FINANCIAL CORP,2017q4,PFMT,0
OWENS-ILLINOIS INC,2017q4,OI,0
ACTIVISION BLIZZARD INC,2017q4,ATVI,0
ONCOMED PHARMACEUTICALS,2017q4,OMED,0
CIGNA CORP,2017q4,CI,0
CA INC,2017q4,CA,0
SYMANTEC CORP,2017q4,SYMC,0
OFS CAPITAL CORP,2017q4,OFS,0
APPLIED GENETIC TECHNOLOGIES,2017q4,AGTC,0
PENN NATIONAL GAMING INC,2017q4,PENN,0
SAEXPLORATION HOLDINGS INC,2017q4,SAEX,0
TYLER TECHNOLOGIES INC,2017q4,TYL,0
VIPER ENERGY PARTNERS LP,2017q4,VNOM,0
CENGAGE LEARNING HLDGS II,2017q4,CNGO,0
NEOPHOTONICS CORP,2017q4,NPTN,0
DEL TACO RESTAURANTS INC,2017q4,TACO,0
CHEMOURS CO,2017q4,CC,0
BIOVERATIV INC,2017q4,BIVV,0
PEABODY ENERGY CORP,2017q4,BTU,0
BLACKROCK CAPITAL INVT CORP,2017q4,BKCC,0
MACROGENICS INC,2017q4,MGNX,0
KFORCE INC,2017q4,KFRC,0
CROWN CRAFTS INC,2017q4,CRWS,0
BOOT BARN HOLDINGS INC,2017q4,BOOT,0
DAWSON GEOPHYSICAL CO,2017q4,DWSN,0
INFUSYSTEM HOLDINGS INC,2017q4,INFU,0
KOHL'S CORP,2017q4,KSS,0
SONIC AUTOMOTIVE INC  -CL A,2017q4,SAH,0
AGCO CORP,2017q4,AGCO,0
RIGEL PHARMACEUTICALS INC,2017q4,RIGL,0
GARRISON CAPITAL INC,2017q4,GARS,0
ALEXION PHARMACEUTICALS INC,2017q4,ALXN,0
PAR PACIFIC HOLDINGS INC,2017q4,PARR,0
NCS MULTISTAGE HLDG INC,2017q4,NCSM,0
ANDERSONS INC,2017q4,ANDE,0
AMN HEALTHCARE SERVICES INC,2017q4,AMN,0
NATUS MEDICAL INC,2017q4,NTUS,0
AGENUS INC,2017q4,AGEN,0
AUTODESK INC,2017q4,ADSK,0
COBALT INTL ENERGY INC,2017q4,CIEIQ,0
DIXIE GROUP INC,2017q4,DXYN,0
K2M GROUP HOLDINGS INC,2017q4,KTWO,0
WEST PHARMACEUTICAL SVSC INC,2017q4,WST,0
WHITING PETROLEUM CORP,2017q4,WLL,0
NORDSON CORP,2017q4,NDSN,0
TEMPUR SEALY INTL INC,2017q4,TPX,0
ACCURAY INC,2017q4,ARAY,0
YIELD10 BIOSCIENCE INC,2017q4,YTEN,0
INVACARE CORP,2017q4,IVC,0
DULUTH HOLDINGS INC,2017q4,DLTH,0
WELBILT INC,2017q4,WBT,0
CEDAR REALTY TRUST INC,2017q4,CDR,0
BSQUARE CORP,2017q4,BSQR,0
OPTICAL CABLE CORP,2017q4,OCC,0
INFINITY PHARMACEUTICALS INC,2017q4,INFI,0
ALTAIR ENGINEERING INC,2017q4,ALTR,0
CECO ENVIRONMENTAL CORP,2017q4,CECE,0
COHERUS BIOSCIENCES INC,2017q4,CHRS,0
AMAG PHARMACEUTICALS INC,2017q4,AMAG,0
INVESCO MORTGAGE CAPITAL INC,2017q4,IVR,0
QUANTUM CORP,2017q4,QMCO,0
LUBYS INC,2017q4,LUB,0
CLEARONE INC,2017q4,CLRO,0
RENEWABLE ENERGY GROUP INC,2017q4,REGI,.034734283
AMERESCO INC,2017q4,AMRC,0
SERVICEMASTER GLOBAL HLDGS,2017q4,SERV,0
BLACK KNIGHT INC,2017q4,BKI,0
HOUSTON WIRE & CABLE CO,2017q4,HWCC,0
TRANSUNION,2017q4,TRU,0
BIOGEN INC,2017q4,BIIB,0
PATRICK INDUSTRIES INC,2017q4,PATK,0
KEY ENERGY SERVICES INC,2017q4,KEG,0
HAIN CELESTIAL GROUP INC,2017q4,HAIN,0
VAIL RESORTS INC,2017q4,MTN,0
PALO ALTO NETWORKS INC,2017q4,PANW,0
CERUS CORP,2017q4,CERS,0
PORTOLA PHARMACEUTICALS INC,2017q4,PTLA,0
CTS CORP,2017q4,CTS,0
USA COMPRESSION PRTNRS -OLD,2017q4,USAC.2,0
EXTRACTION OIL & GAS INC,2017q4,XOG,0
PRIMORIS SERVICES CORP,2017q4,PRIM,0
WESTLAKE CHEMICAL PRTNRS LP,2017q4,WLKP,0
PAPA MURPHY'S HOLDINGS INC,2017q4,FRSH,0
ARMSTRONG FLOORING INC,2017q4,AFI,0
PHOTRONICS INC,2017q4,PLAB,0
RENT-A-CENTER INC,2017q4,RCII,0
WATSCO INC,2017q4,WSO,0
ADVANCED DRAINAGE SYSTEMS,2017q4,WMS,0
ACCELERATE DIAGNOSTICS INC,2017q4,AXDX,0
HARTFORD FINANCIAL SERVICES,2017q4,HIG,0
INTL PAPER CO,2017q4,IP,0
NETLIST INC,2017q4,NLST,0
URBAN OUTFITTERS INC,2017q4,URBN,0
TEARLAB CORP,2017q4,TEAR,0
BOSTON SCIENTIFIC CORP,2017q4,BSX,0
BIOMARIN PHARMACEUTICAL INC,2017q4,BMRN,0
SMART & FINAL STORES INC,2017q4,SFS,0
ASPEN AEROGELS INC,2017q4,ASPN,0
ALLIANCE DATA SYSTEMS CORP,2017q4,ADS,0
LOGMEIN INC,2017q4,LOGM,0
PEGASYSTEMS INC,2017q4,PEGA,0
ASPEN TECHNOLOGY INC,2017q4,AZPN,0
WELLCARE HEALTH PLANS INC,2017q4,WCG,0
PS BUSINESS PARKS,2017q4,PSB,0
ALBANY INTL CORP  -CL A,2017q4,AIN,0
GENERAL ELECTRIC CO,2017q4,GE,0
ROYAL GOLD INC,2017q4,RGLD,0
ARQULE INC,2017q4,ARQL,0
OVERSEAS SHIPHOLDING GROUP,2017q4,OSG,0
SOTHEBY'S,2017q4,BID,0
CLEARWATER PAPER CORP,2017q4,CLW,0
AIR PRODUCTS & CHEMICALS INC,2017q4,APD,0
MANHATTAN ASSOCIATES INC,2017q4,MANH,0
EL POLLO LOCO HOLDINGS INC,2017q4,LOCO,0
SERES THERAPEUTICS INC,2017q4,MCRB,0
BARNES GROUP INC,2017q4,B,0
CSX CORP,2017q4,CSX,0
BIOTELEMETRY INC,2017q4,BEAT,0
W&T OFFSHORE INC,2017q4,WTI,0
WHITESTONE REIT,2017q4,WSR,0
MINERALS TECHNOLOGIES INC,2017q4,MTX,0
TRANSENTERIX INC,2017q4,TRXC,0
EQUIFAX INC,2017q4,EFX,0
WILLDAN GROUP INC,2017q4,WLDN,0
FTD COS INC,2017q4,FTDCQ,0
TERADATA CORP,2017q4,TDC,0
COMSTOCK RESOURCES INC -OLD,2017q4,CRK.5,0
PENN VIRGINIA CORP,2017q4,PVAC,0
ACORDA THERAPEUTICS INC,2017q4,ACOR,0
TRANSDIGM GROUP INC,2017q4,TDG,0
BIODELIVERY SCIENCES INTL,2017q4,BDSI,0
CRAY INC,2017q4,CRAY,0
ACHAOGEN INC,2017q4,AKAOQ,0
SNYDERS-LANCE INC,2017q4,LNCE,0
STEEL DYNAMICS INC,2017q4,STLD,0
LANDSTAR SYSTEM INC,2017q4,LSTR,0
CRACKER BARREL OLD CTRY STOR,2017q4,CBRL,0
SYNACOR INC,2017q4,SYNC,0
CUMMINS INC,2017q4,CMI,0
CITI TRENDS INC,2017q4,CTRN,0
ABBOTT LABORATORIES,2017q4,ABT,0
PRA HEALTH SCIENCES INC,2017q4,PRAH,0
FIBROGEN INC,2017q4,FGEN,0
NUVECTRA CORP,2017q4,NVTR,0
ANWORTH MTG ASSET CORP,2017q4,ANH,0
RPM INTERNATIONAL INC,2017q4,RPM,0
TRI POINTE GROUP INC,2017q4,TPH,0
POWELL INDUSTRIES INC,2017q4,POWL,0
VIRTUSA CORP,2017q4,VRTU,0
BIOLASE INC,2017q4,BIOL,0
CALIX INC,2017q4,CALX,0
AIR LEASE CORP,2017q4,AL,0
AMERICAN AIRLINES INC,2017q4,AMR1,0
KINDRED HEALTHCARE INC,2017q4,KND,0
DELTA AIR LINES INC,2017q4,DAL,0
BUTLER NATIONAL CORP,2017q4,BUKS,0
J CREW GROUP INC,2017q4,0190A,0
VERICEL CORP,2017q4,VCEL,0
NANOSTRING TECHNOLOGIES INC,2017q4,NSTG,0
CHEMOCENTRYX INC,2017q4,CCXI,0
SELECT ENERGY SERVICES INC,2017q4,WTTR,0
ALLISON TRANSMISSION HLDGS,2017q4,ALSN,0
PERFICIENT INC,2017q4,PRFT,0
CDK GLOBAL INC,2017q4,CDK,0
AEROVIRONMENT INC,2017q4,AVAV,0
AXON ENTERPRISE INC,2017q4,AAXN,0
US AUTO PARTS NETWORK INC,2017q4,PRTS,0
HIGHWOODS PROPERTIES INC,2017q4,HIW,0
ESSENDANT INC,2017q4,ESND,0
KNOLL INC,2017q4,KNL,0
OCCIDENTAL PETROLEUM CORP,2017q4,OXY,0
GULFPORT ENERGY CORP,2017q4,GPOR,0
FORMFACTOR INC,2017q4,FORM,0
CIRCOR INTL INC,2017q4,CIR,0
RETAIL PPTYS OF AMERICA INC,2017q4,RPAI,0
DELEK US HOLDINGS INC,2017q4,DK,0
SUMMIT HOTEL PROPERTIES INC,2017q4,INN,0
SAVARA INC,2017q4,SVRA,0
SITEONE LANDSCAPE SUPPLY INC,2017q4,SITE,0
TRECORA RESOURCES,2017q4,TREC,0
CITRIX SYSTEMS INC,2017q4,CTXS,0
FLOTEK INDUSTRIES INC,2017q4,FTK,0
MOTOROLA SOLUTIONS INC,2017q4,MSI,0
LITTELFUSE INC,2017q4,LFUS,0
MIDSTATES PETROLEUM CO INC,2017q4,MPO,0
JOHNSON OUTDOORS INC  -CL A,2017q4,JOUT,0
VAALCO ENERGY INC,2017q4,EGY,0
NATIONAL RETAIL PROPERTIES,2017q4,NNN,0
CHEESECAKE FACTORY INC,2017q4,CAKE,0
VERITONE INC,2017q4,VERI,0
AMERICAN ELECTRIC TECH INC,2017q4,AETI,0
HYATT HOTELS CORP,2017q4,H,0
LSC COMMUNICATIONS INC,2017q4,LKSD,0
BOOZ ALLEN HAMILTON HLDG CP,2017q4,BAH,0
CONMED CORP,2017q4,CNMD,0
MICROCHIP TECHNOLOGY INC,2017q4,MCHP,0
AT HOME GROUP INC,2017q4,HOME,0
IMMUNOGEN INC,2017q4,IMGN,0
GREIF INC  -CL A,2017q4,GEF,0
KEY TECHNOLOGY INC,2017q4,KTEC,0
HAEMONETICS CORP,2017q4,HAE,0
TRANSCAT INC,2017q4,TRNS,0
DIGIMARC CORP,2017q4,DMRC,0
MASIMO CORP,2017q4,MASI,0
VERTEX PHARMACEUTICALS INC,2017q4,VRTX,0
AMERICAN OUTDOOR BRANDS CORP,2017q4,AOBC,0
SPANISH BROADCASTING SYS INC,2017q4,SBSAA,0
TWIN DISC INC,2017q4,TWIN,0
ACETO CORP,2017q4,ACETQ,0
DST SYSTEMS INC,2017q4,DST,0
LEMAITRE VASCULAR INC,2017q4,LMAT,0
HERITAGE INSURANCE HOLDINGS,2017q4,HRTG,0
IRADIMED CORP,2017q4,IRMD,0
UNITED INSURANCE HOLDINGS CO,2017q4,UIHC,0
INPHI CORP,2017q4,IPHI,0
CENTURY CASINOS INC,2017q4,CNTY,0
JONES SODA CO,2017q4,JSDA,0
GOLDEN ENTERTAINMENT INC,2017q4,GDEN,0
DIODES INC,2017q4,DIOD,0
OWENS REALTY MORTGAGE INC,2017q4,ORM,0
TABLEAU SOFTWARE INC,2017q4,DATA,0
VERISK ANALYTICS INC,2017q4,VRSK,0
BWX TECHNOLOGIES INC,2017q4,BWXT,0
VIVINT SOLAR INC,2017q4,VSLR,.031720858
CDW CORP,2017q4,CDW,0
SIMON PROPERTY GROUP INC,2017q4,SPG,0
HEALTHSTREAM INC,2017q4,HSTM,0
FORESIGHT ENERGY LP,2017q4,FELP,0
LEXINGTON REALTY TRUST,2017q4,LXP,0
ARROWHEAD PHARMACEUTICALS,2017q4,ARWR,0
CHATHAM LODGING TRUST,2017q4,CLDT,0
PARK HOTELS & RESORTS,2017q4,PK,0
ULTIMATE SOFTWARE GROUP INC,2017q4,ULTI,0
ACELRX PHARMACEUTICALS INC,2017q4,ACRX,0
AMKOR TECHNOLOGY INC,2017q4,AMKR,0
VONAGE HOLDINGS CORP,2017q4,VG,0
DATAWATCH CORP,2017q4,DWCH,0
ARMSTRONG WORLD INDUSTRIES,2017q4,AWI,0
INNERWORKINGS INC,2017q4,INWK,0
KIMBELL ROYALTY PARTNRS LP,2017q4,KRP,0
GENESCO INC,2017q4,GCO,0
SOTHERLY HOTELS INC,2017q4,SOHO,0
ULTRAGENYX PHARMACEUTICAL,2017q4,RARE,0
HOSTESS BRANDS INC,2017q4,TWNK,0
VARONIS SYSTEMS INC,2017q4,VRNS,0
AGREE REALTY CORP,2017q4,ADC,0
DELL TECHNOLOGIES INC,2017q4,DELL,0
STARTEK INC -OLD,2017q4,SRT.2,0
TRIUMPH GROUP INC,2017q4,TGI,0
GRAPHIC PACKAGING HOLDING CO,2017q4,GPK,0
MACE SECURITY INTL INC,2017q4,MACE,0
TOWER INTERNATIONAL INC,2017q4,TOWR,0
DEVON ENERGY CORP,2017q4,DVN,0
PBF ENERGY INC,2017q4,PBF,0
ALTIGEN COMMUNICATIONS INC,2017q4,ATGN,0
CONNECTURE INC,2017q4,CNXR,0
DXP ENTERPRISES INC,2017q4,DXPE,0
ALPHA AND OMEGA SEMICONDUCTR,2017q4,AOSL,0
LABORATORY CP OF AMER HLDGS,2017q4,LH,0
BIG 5 SPORTING GOODS CORP,2017q4,BGFV,0
AEROHIVE NETWORKS INC,2017q4,HIVE,0
SUPERIOR ENERGY SERVICES INC,2017q4,SPN,0
TAILORED BRANDS INC,2017q4,TLRD,0
PACCAR INC,2017q4,PCAR,0
STANLEY BLACK & DECKER INC,2017q4,SWK,0
VIEWRAY INC,2017q4,VRAY,0
ROCKY MOUNTAIN CHOC FACT INC,2017q4,RMCF,0
HEALTHCARE REALTY TRUST INC,2017q4,HR,0
KELLOGG CO,2017q4,K,0
COMMUNITY HEALTHCARE TRUST,2017q4,CHCT,0
HCP INC,2017q4,HCP,0
COMPASS DIVERSIFIED HOLDINGS,2017q4,CODI,0
NORWEGIAN CRUISE LINE HLDGS,2017q4,NCLH,0
EVOLVING SYSTEMS INC,2017q4,EVOL,0
OIL STATES INTL INC,2017q4,OIS,0
TAHOE RESOURCES INC,2017q4,TAHO,0
BLOOMIN' BRANDS INC,2017q4,BLMN,0
CONIFER HOLDINGS INC,2017q4,CNFR,0
ECOLOGY AND ENVIRONMENT INC,2017q4,EEI,0
HOOPER HOLMES INC,2017q4,HPHWQ,0
ZAYO GROUP HOLDINGS INC,2017q4,ZAYO,0
BLACK BOX CORP,2017q4,BBOX,0
PAYLOCITY HOLDING CORP,2017q4,PCTY,0
OCULAR THERAPEUTIX INC,2017q4,OCUL,0
ITERIS INC,2017q4,ITI,0
CAPITALA FINANCE CORP,2017q4,CPTA,0
GRAND CANYON EDUCATION INC,2017q4,LOPE,0
ECHO GLOBAL LOGISTICS INC,2017q4,ECHO,0
ARCBEST CORP,2017q4,ARCB,0
EBIX INC,2017q4,EBIX,0
MATSON INC,2017q4,MATX,0
FULLER (H. B.) CO,2017q4,FUL,0
GTT COMMUNICATIONS INC,2017q4,GTT,0
COPART INC,2017q4,CPRT,0
NVE CORP,2017q4,NVEC,0
DIGI INTERNATIONAL INC,2017q4,DGII,0
ANNALY CAPITAL MANAGEMENT,2017q4,NLY,0
HP INC,2017q4,HPQ,0
LCI INDUSTRIES,2017q4,LCII,0
L BRANDS INC,2017q4,LB,0
MASTEC INC,2017q4,MTZ,0
MANITOWOC CO,2017q4,MTW,0
CEDAR FAIR  -LP,2017q4,FUN,0
APTARGROUP INC,2017q4,ATR,0
TAUBMAN CENTERS INC,2017q4,TCO,0
VISTA OUTDOOR INC,2017q4,VSTO,0
CHIMERA INVESTMENT CORP,2017q4,CIM,0
GREEN DOT CORP,2017q4,GDOT,0
XENIA HOTELS & RESORTS INC,2017q4,XHR,0
CASCADIAN THERAPEUTICS INC,2017q4,CASC,0
RIMINI STREET INC,2017q4,RMNI,0
HESKA CORP,2017q4,HSKA,0
ATHENAHEALTH INC,2017q4,ATHN,0
FIVE STAR SENIOR LIVING INC,2017q4,FVE,0
SUBURBAN PROPANE PRTNRS  -LP,2017q4,SPH,0
VARIAN MEDICAL SYSTEMS INC,2017q4,VAR,0
ACUITY BRANDS INC,2017q4,AYI,0
FATE THERAPEUTICS INC,2017q4,FATE,0
DRIVE SHACK INC,2017q4,DS,0
CBL & ASSOCIATES PPTYS INC,2017q4,CBL,0
SERVICESOURCE INTL INC,2017q4,SREV,0
GOLDMAN SACHS BDC INC,2017q4,GSBD,0
WILLBROS GROUP INC,2017q4,WGRP,0
GULF ISLAND FABRICATION INC,2017q4,GIFI,0
CORCEPT THERAPEUTICS INC,2017q4,CORT,0
GENESIS ENERGY  -LP,2017q4,GEL,0
ROSS STORES INC,2017q4,ROST,0
LINCOLN EDUCATIONAL SERVICES,2017q4,LINC,0
VERA BRADLEY INC,2017q4,VRA,0
DIAMONDROCK HOSPITALITY CO,2017q4,DRH,0
REGENXBIO INC,2017q4,RGNX,0
AMDOCS,2017q4,DOX,0
COOPER TIRE & RUBBER CO,2017q4,CTB,0
LEAR CORP,2017q4,LEA,0
SYSTEMAX INC,2017q4,SYX,0
OPTIMIZERX CORP,2017q4,OPRX,0
GUIDEWIRE SOFTWARE INC,2017q4,GWRE,0
WHEELER REAL ESTATE INVT TR,2017q4,WHLR,0
FERRELLGAS PARTNERS  -LP,2017q4,FGP,0
AUTONATION INC,2017q4,AN,0
MERRIMACK PHARMACEUTICALS,2017q4,MACK,0
FACEBOOK INC,2017q4,FB,0
TEXAS ROADHOUSE INC,2017q4,TXRH,0
ILG INC,2017q4,ILG,0
ENERGY FOCUS INC,2017q4,EFOI,0
CRANE CO,2017q4,CR,0
PROTO LABS INC,2017q4,PRLB,0
UNDER ARMOUR INC,2017q4,UAA,0
NORTHWEST PIPE CO,2017q4,NWPX,0
GUESS INC,2017q4,GES,0
AMEDISYS INC,2017q4,AMED,0
JONES LANG LASALLE INC,2017q4,JLL,0
ZAGG INC,2017q4,ZAGG,0
ASTRONOVA INC,2017q4,ALOT,0
INVITAE CORP,2017q4,NVTA,0
SEATTLE GENETICS INC,2017q4,SGEN,0
BENCHMARK ELECTRONICS INC,2017q4,BHE,0
HEXCEL CORP,2017q4,HXL,0
GLOBUS MEDICAL INC,2017q4,GMED,0
WORKHORSE GROUP INC,2017q4,WKHS,0
ICF INTERNATIONAL INC,2017q4,ICFI,0
SIENTRA INC,2017q4,SIEN,0
BLUEBIRD BIO INC,2017q4,BLUE,0
SUPERIOR INDUSTRIES INTL,2017q4,SUP,.023137437
MARCUS & MILLICHAP INC,2017q4,MMI,0
SAREPTA THERAPEUTICS INC,2017q4,SRPT,0
REALPAGE INC,2017q4,RP,0
MGM RESORTS INTERNATIONAL,2017q4,MGM,0
MEDNAX INC,2017q4,MD,0
SMART SAND INC,2017q4,SND,0
SUMMER INFANT INC,2017q4,SUMR,0
GRAHAM CORP,2017q4,GHM,0
COEUR MINING INC,2017q4,CDE,0
APPROACH RESOURCES INC,2017q4,AREX,0
DASAN ZHONE SOLUTIONS INC,2017q4,DZSI,0
AETNA INC,2017q4,AET,0
CARNIVAL CORP/PLC (USA),2017q4,CCL,0
TILE SHOP HOLDINGS INC,2017q4,TTS,0
XTANT MEDICAL HOLDINGS INC,2017q4,XTNT,0
WESTLAKE CHEMICAL CORP,2017q4,WLK,0
AGIOS PHARMACEUTICALS,2017q4,AGIO,0
STREAMLINE HEALTH SOLUTIONS,2017q4,STRM,0
SEASPINE HOLDINGS CORP,2017q4,SPNE,0
FEDERAL REALTY INVESTMENT TR,2017q4,FRT,0
ARISTA NETWORKS INC,2017q4,ANET,0
GLADSTONE LAND CORP,2017q4,LAND,0
GSE SYSTEMS INC,2017q4,GVP,0
SUPERVALU INC,2017q4,SVU,0
MONOLITHIC POWER SYSTEMS INC,2017q4,MPWR,0
GLOBAL MEDICAL REIT,2017q4,GMRE,0
H&E EQUIPMENT SERVICES INC,2017q4,HEES,0
APPIAN CORP,2017q4,APPN,0
USA TECHNOLOGIES INC,2017q4,USAT,0
INFINITY PROPERTY & CAS CORP,2017q4,IPCC,0
NEW RELIC INC,2017q4,NEWR,0
INTERFACE INC,2017q4,TILE,0
LEAF GROUP LTD,2017q4,LEAF,0
VISTEON CORP,2017q4,VC,0
LUNA INNOVATIONS INC,2017q4,LUNA,0
SPARK THERAPEUTICS INC,2017q4,ONCE,0
REX AMERICAN RESOURCES CORP,2017q4,REX,0
WORLD FUEL SERVICES CORP,2017q4,INT,0
PPG INDUSTRIES INC,2017q4,PPG,0
HILL-ROM HOLDINGS INC,2017q4,HRC,0
DISH NETWORK CORP,2017q4,DISH,0
WORTHINGTON INDUSTRIES,2017q4,WOR,0
